Name,SMILES,Enthalpy,Entropy,Cp_300,Cp_400,Cp_500,Cp_600,Cp_700,Cp_800,Cp_900,Cp_1000,Cp_1100,Cp_1200,Cp_1300,Cp_1400,Cp_1500
C2F6,C(C(F)(F)F)(F)(F)F,-319.7174754561297,81.38409459787273,25.37974426191895,29.6279829548042,32.83662274230854,35.20755251752754,36.95285061302919,38.24880623237639,39.225130400302724,39.97280759507671,40.55485174855712,41.015060728466246,41.3842127352618,41.684244672776394,41.93103088033213
C3F8,C(C(F)(F)F)(C(F)(F)F)(F)F,-416.3782692800817,97.02081217169062,35.74195868461566,41.73798969845333,46.27140952292898,49.62031551684019,52.08349356649831,53.91089393176165,55.286514056883,56.33928917372531,57.15840590916724,57.805781137273755,58.32488189485125,58.74666251499163,59.09350666233347
C4F10,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,-512.5210739740343,109.90020988399422,46.11063094269498,53.87477682804616,59.735502916455246,64.05944414295928,67.23656419303542,69.59178726055578,71.36367799924422,72.71909865161732,73.7733127517017,74.60625832226883,75.27400913912946,75.81647237965073,76.26249136920836
C5F12,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,-609.2431674044624,123.62841538371731,56.426529412428515,65.96321600745033,73.16030339218189,78.4673983428951,82.36477371061683,85.25258581732972,87.4243534689575,89.08518174934804,90.37664071406887,91.39685184523165,92.21461032424239,92.8788579587194,93.42495685191669
C6F14,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,-705.6666801613502,135.92970480128392,66.81654142878219,78.11571061927869,86.63585887453735,92.91496554325492,97.52418794689541,100.93836613207893,103.5053730549244,105.46809949869467,106.99410121881903,108.19946180024712,109.165544339238,109.95021743496494,110.59528498699862
C7F16,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-802.5498345541779,147.85751698192124,77.13139294361768,90.20921790811094,100.06375067585557,107.32383759026047,112.65198388870449,116.5980651086477,119.56464481399077,121.83268279519946,123.59594139393954,124.98863266172098,126.10481138335497,127.01136496524417,127.75660786139785
C8F18,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-897.6369656570138,159.72910216438845,87.4926036136922,102.34206482346194,113.53038802403294,121.76926406362867,127.81284419491423,132.28699709991432,135.6495108575639,138.21962060138878,140.21733657824885,141.7949711598702,143.05921931193566,144.0859325117264,144.92988566271995
C9F20,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-991.6350141525626,171.0976299767941,97.75373737080608,114.40578699240183,126.94962985998795,136.18134324967303,142.94940110944825,147.95759895247343,151.72012713647425,154.59519121492562,156.82946449384409,158.59361429680555,160.00713678561544,161.15495245939866,162.09836705578795
CF3COOH,FC(F)(F)C(=O)O,-244.67918161630877,81.48757613783539,23.195901751151222,27.26415263139823,30.378534723106995,32.734582741545644,34.526644615822384,35.91186375309218,37.004147141836896,37.88239457780337,38.60078592039821,39.19697191920177,39.6977030875164,40.122479088174224,40.48587454395618
C2F5COOH,FC(F)(F)C(F)(F)C(=O)O,-342.7511865171906,95.44458751005926,33.558783270572214,39.36995153480924,43.80363204491531,47.13554929765211,49.64558626520833,51.56332953975462,53.05629540923152,54.241018768372285,55.197724697861894,55.982145268800835,56.63372212878683,57.18099047991055,57.645056861453554
