SMILES,NAME,Name,LogFile
FC(F)C(F)(F)C(F)F,DTXSID90987417,,
FC1C(F)(F)C(F)C(F)(F)C1(F)F,DTXSID90998543,,
[H]C12C(F)(F)C(F)(F)C(F)(C1(F)F)C(F)(F)C2(F)F,DTXSID30619341,,
CC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30625826,,
CC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30708825,,
FC(F)(F)C(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)F,DTXSID30709115,,
FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,DTXSID30710605,,
FCC(F)(F)C(F)F,DTXSID3073925,,
FC1=CC(F)(F)C(F)(F)C1(F)F,DTXSID3074654,,
CC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30750728,,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C2(F)F,DTXSID30824711,,
CCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30826513,,
FC(F)(C1CCCCC1)C(F)(F)C1=CC=CC=C1,DTXSID30832694,,
CC1=CC(=CC=C1)C1C(F)(F)C1(F)F,DTXSID30840850,,
FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID30869884,,
FC(=C(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,DTXSID30880175,,
F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID30881349,,
CCC=CC(F)(F)C(F)(F)C(F)(F)F,DTXSID30895183,,
CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30895188,,
CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30895229,,
F\C(=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID30895284,,
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30895289,,
F\C=C\C(F)(C(F)(F)F)C(F)(F)F,DTXSID30896296,,
FC(F)=C(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID30896312,,
FC(F)(F)[C@]1(F)C(F)(F)[C@](F)(C(F)(F)F)C1(F)F,DTXSID30897526,,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,DTXSID30897561,,
FC(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID401022952,,
FC=CC(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID401026754,,
CC(C)C(F)(C(F)(F)F)C(F)(F)F,DTXSID401026978,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,DTXSID401026992,,
FC#CC(F)(F)C(F)(F)C(F)(F)F,DTXSID401027071,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID401027590,,
CC1=CC2(F)C=CC1(F)C(F)(F)C2(F)F,DTXSID401045627,,
CC1=C(C(F)(F)F)C2(F)C=CC1(F)C(F)(F)C2(F)F,DTXSID401045639,,
FC(F)(F)C(F)(F)C1C2=CC=CC=C2C2=CC=CC=C12,DTXSID401268364,,
CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F,DTXSID401348904,,
FC1(F)C(F)(F)C1(F)C=C,DTXSID401349095,,
F\C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID401349176,,
CC12C3(F)C11C4(C(C4(F)C3(F)F)C2(F)F)C2(F)C(F)=C(F)C1(F)C(F)(F)C2(F)F,DTXSID401353474,,
FC1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID40204383,,
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40204489,,
CCCCC(F)(F)C(F)(F)F,DTXSID40240524,,
FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40338632,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID40188992,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40188997,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID40190838,,
CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40381981,,
FC(C(F)(F)F)C(F)(F)F,DTXSID4042048,,
FC(F)(F)C(=CC(F)(F)C(F)(F)F)C(F)(F)F,DTXSID40436965,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1,DTXSID40447056,,
FC1(F)C2=CC=CC=C2C2=CC=CC=C2C1(F)F,DTXSID40476962,,
FCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXSID40507664,,
CCC(F)(F)C(F)C(F)(F)F,DTXSID40574699,,
[H]C12CCC(C1)(C=C2)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40603731,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXSID40610223,,
CC1=CC(CC(F)(F)C(F)C(F)(F)F)=CC=C1,DTXSID40614625,,
CC(F)(F)C(F)CF,DTXSID40620125,,
[H]C12C(F)=C(F)C(F)(C1(F)F)C(F)(F)C2(F)F,DTXSID40631458,,
CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40674305,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C)C=C1,DTXSID40679875,,
FC(F)C(F)(F)C(F)(F)F,DTXSID4075297,,
CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40765262,,
CCCCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40767605,,
CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40837332,,
FC1(F)C(C2=CC=CC3=CC=CC=C23)C1(F)F,DTXSID40840841,,
CC1=C(C)C=C(C=C1)C(F)(F)C(F)(F)F,DTXSID40856563,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40880444,,
FC(F)(C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,DTXSID40881335,,
FC1C(F)(F)C=C(F)C1(F)F,DTXSID40891737,,
FC(F)(F)C(F)(F)C(F)(F)C=C,DTXSID40895154,,
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895179,,
CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895194,,
CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895199,,
CCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895210,,
CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895230,,
CCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895235,,
F\C(=C(\F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID40895250,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,DTXSID40895311,,
CCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895371,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,DTXSID40895376,,
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40895457,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,DTXSID40895472,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C)C=C1,DTXSID40895558,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C\C=C/C1=CC=CC=C1,DTXSID40895573,,
F\C(=C(/C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,DTXSID40896328,,
F\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40896661,,
FC(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)F,DTXSID40896666,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40896686,,
CC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID40896762,,
FCCC(F)(F)C(F)(F)F,DTXSID40936596,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID501021202,,
FC(F)C(F)(F)C(F)(F)C(F)C(F)(F)F,DTXSID501026814,,
FC(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID501026933,,
FC1=C(F)C(F)=C(F)C2=C1C(F)(F)C(F)(C(F)(F)F)C2(F)F,DTXSID501027624,,
CC(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID501032625,,
FC(C(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID501032732,,
FC(F)=CC(F)(C(F)(F)F)C(F)(F)F,DTXSID50896298,,
